name,price,mileage,mpg,ext_color,int_color,transmission,rwd,condition,year,engine_size,engine_info
  California,117900,17972,16.0,Rosso Corsa Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2012,4.3,8-Cylinder Gas Engine
  812 Superfast,370900,8417,14.0,Silver Exterior,Black With White Stitching Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  F8 Tributo,364995,3048,17.0,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,525000,2188,16.5,Rosso Scuderia Exterior,Nero Leather Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,259950,23797,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,264900,15138,18.5,White Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  575M Maranello,159995,14485,12.5,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2002,5.7,12-Cylinder Gas Engine
  488 GTB,279900,5454,18.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,319998,1925,19.5,Bianco Cervino Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,356900,52,19.5,White Exterior,White Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  Portofino,209900,17650,19.0,White Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,334900,214,19.5,Rosso Corsa Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,299985,5050,18.5,Argento Nurburgring Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
