name,price,mileage,mpg,ext_color,int_color,transmission,rwd,condition,year,engine_size,engine_info
  812 GTS,589900,1329,13.5,Gray Exterior,Brown Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,6.5,12-Cylinder Gas Engine
  488 Spider,299995,4051,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,529999,45,16.5,Grigio Titanio Metallic Exterior,Sabbia Leather Seats,7-Speed Automatic Transmission,yes,Used,2023,3.9,8-Cylinder Turbo Gas Engine
  488 Pista Coupe,444995,28120,17.5,Rosso Corsa Exterior,Nero W/Alcantara Seat Trim Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,389000,879,17.0,Bianco Cervino Exterior,Azzurro Santorino Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,205000,15449,15.0,Black Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2011,4.5,8-Cylinder Gas Engine
  F430 Coupe,229999,31051,13.5,Red Exterior,Red Leather Seats,6-Speed Automatic Transmission,yes,Used,2008,4.3,8-Cylinder Gas Engine
  488 Spider,279988,12976,18.5,Grigio Titanio Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  F430 Coupe,119900,21000,12.5,Red Exterior,Beige Leather Seats,6-Speed Automatic Transmission,yes,Used,2005,4.3,8-Cylinder Gas Engine
  488 Spider,349895,2845,18.5,Rosso Corsa Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  Portofino,259995,3412,19.0,Avorio Exterior,Sabbia Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  488 Pista Coupe,574990,2550,17.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,192800,12947,15.0,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2011,4.5,8-Cylinder Gas Engine
  Portofino M,299995,3139,19.5,Bianco Cervino Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,149900,9687,13.5,Nero Ds Exterior,Beige Leather Seats,6-Speed Manual Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  F8 Spider,469995,2320,16.5,Nero Daytona Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,395000,6327,14.0,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,6.5,12-Cylinder Gas Engine
  F430 Coupe,369900,5875,13.5,Rosso Corsa Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2008,4.3,8-Cylinder Gas Engine
  458 Speciale Coupe,595895,5014,15.0,Blu Tour De France Metallic Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015,4.5,8-Cylinder Gas Engine
  Portofino M,289195,2056,19.5,Bianco Cervino Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,295900,7363,14.0,Grigio Silverstone Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,6.3,12-Cylinder Gas Engine
  Roma,299985,3103,19.5,Blu Abu Dhabi Metallic Exterior,Sabbia Leather Seats,8-Speed Automatic Transmission,yes,Used,2023,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,294995,3930,18.5,Black Exterior,Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,294900,9996,18.5,Bianco Avus Exterior,Blue Sterling Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,439995,2458,16.5,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  Portofino,237000,6774,19.0,Rosso Corsa Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  Roma,287900,2279,19.5,Rosso Fuoco Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  California T,139989,28012,19.5,Red Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,164995,22572,13.5,Corsa Red Exterior,Beige Leather Seats,6-Speed Manual Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  812 Superfast,359900,5085,14.0,Silver Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.5,12-Cylinder Gas Engine
  California,119900,19668,16.5,Nero Daytona Metallic Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.3,8-Cylinder Gas Engine
  812 Superfast,419950,9863,14.0,Black Exterior,Red Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,6.5,12-Cylinder Gas Engine
  Portofino,229888,11723,19.0,Bianco Avus Exterior,Black Leather Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,469990,2182,16.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,299900,839,19.5,Black Exterior,Light Gray Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso T,269995,2289,18.0,Avorio Exterior,Sabbia Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,399995,612,17.0,Giallo Modena Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Roma,249899,4887,19.5,Giallo Modena Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  Portofino,244985,1837,19.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso T,209900,10290,18.0,Nero Daytona Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  California T,139900,15655,19.5,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,279900,4732,18.5,Grigio Titanio Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,199995,27831,15.0,Rosso Corsa Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2011,4.5,8-Cylinder Gas Engine
  California,104999,14436,16.0,Nero Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2010,4.3,8-Cylinder Gas Engine
  California T,144900,8650,19.5,Blu Mediterraneo Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,479900,961,16.5,Blue Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso T,196900,31952,18.0,White Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,199995,18957,15.0,Nero Noctis Black Exterior,Nero Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2011,4.5,8-Cylinder Gas Engine
  F8 Spider,434990,1404,16.5,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso,269900,2407,14.5,Blu Pozzi Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.3,12-Cylinder Gas Engine
  488 GTB,264900,9024,18.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  California T,137000,17347,19.5,Nero Daytona Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso,219991,13893,14.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,6.3,12-Cylinder Gas Engine
  488 GTB,269895,6674,18.5,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,129995,17669,13.5,Silver Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2006,4.3,8-Cylinder Gas Engine
  F8 Tributo,394900,1650,17.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,329900,331,19.5,Canna Di Fucile Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,529900,2993,13.5,Gray Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  488 Spider,262626,23786,18.5,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  Portofino,238900,9280,19.0,Argento Nurburgring Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,299990,5154,18.5,Rosso Corsa Exterior,Cuoio Interior,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,279990,10628,18.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  360 Spider,119000,16513,12.5,Rosso Fiorano Exterior,Bordeaux Leather Seats,Manual Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  Portofino M,309900,4791,19.5,Gray Exterior,Red Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino,217900,11777,19.0,Nero Ds 1250 Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,309800,552,19.5,Rosso Portofino Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,334900,214,19.5,Rosso Corsa Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,329900,191,19.5,Nero Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023,3.9,8-Cylinder Turbo Gas Engine
  Roma,269900,4680,19.5,Blu Swaters Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  Roma,284917,2137,19.5,Blu Roma Exterior,Tortora Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,269900,13653,18.5,Black Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  California T,139995,13662,19.5,Gray Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2016,3.9,8-Cylinder Turbo Gas Engine
  Portofino,238995,2843,19.0,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,454900,3338,16.5,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso,269999,5894,14.5,Nero Daytona Metallic Exterior,Terra Bruciata Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,6.3,12-Cylinder Gas Engine
  California T,149888,13422,19.5,Rosso Mugello Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  Roma,257500,3425,19.5,Grigio Alloy Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,139900,15555,13.5,Rosso Corsa Exterior,Beige Leather Seats,6-Speed Manual Transmission,yes,Used,2006,4.3,8-Cylinder Gas Engine
  Portofino,219900,8579,19.0,Blu Abu Dhabi Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  Roma,226166,5489,19.5,Grigio Titanio Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,279995,15730,18.5,Giallo Modena Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  458 Spider,259999,7170,15.0,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2013,4.5,8-Cylinder Gas Engine
  Roma,239900,2883,19.5,Rosso Scuderia Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,289994,10103,14.0,Corsa Red Exterior,Black Interior,7-Speed Automatic Transmission,yes,Certified,2016,6.3,12-Cylinder Gas Engine
  488 GTB,229995,16760,18.5,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  Portofino,249900,1991,19.0,Alluminio Opaco Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  Portofino,238990,2493,19.0,Roso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  California T,150900,11451,19.5,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,349900,1547,18.5,Blu Tour De France Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  360 Spider,134950,13522,12.5,Rosso Scuderia Exterior,Cuoio Naturale Leather Seats,Automatic Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  FF,146999,21076,14.0,Nero Daytona Metallic Exterior,Beige Leather Seats,7-Speed Automatic Transmission,no,Used,2016,6.3,12-Cylinder Gas Engine
  Portofino,239995,3964,19.0,Rosso Portofino Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  F430 Coupe,239900,49427,13.5,Modena Yellow Exterior,Black Leather Seats,Manual Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  458 Spider,294990,7437,15.0,Blue Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,4.5,8-Cylinder Gas Engine
  488 GTB,274900,1535,18.5,Silver Exterior,Blue Sterling Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,295535,6296,18.5,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,267900,3225,18.5,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,549995,678,16.5,Blu Pozzi Exterior,Pelle Bianca Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,275990,10519,18.5,White Exterior,Rosso Ferrari W Seat Trim,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  Portofino M,314795,746,19.5,Giallo Modena Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,369980,3037,17.0,Red Exterior,Brown Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,469900,3298,16.5,Rosso Corsa Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,364990,9771,14.0,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,6.5,12-Cylinder Gas Engine
  F8 Spider,464995,353,16.5,Argento Nurburgring Metallic Exterior,Creama Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Speciale Coupe,549900,7960,15.0,Rosso Corsa Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Certified,2015,4.5,8-Cylinder Gas Engine
  458 Speciale Coupe,649900,564,15.0,Red Exterior,Black Interior,7-Speed Automatic Transmission,yes,Used,2015,4.5,8-Cylinder Gas Engine
  F8 Tributo,380000,4493,17.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,443995,2035,16.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,355900,9915,14.0,Nero Ds Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.5,12-Cylinder Gas Engine
  F430 Spider,168998,15834,13.5,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  GTC4Lusso,269900,2407,14.5,Blu Pozzi Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.3,12-Cylinder Gas Engine
  FF,140995,26066,13.5,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,no,Used,2014,6.3,12-Cylinder Gas Engine
  458 Spider,206122,37938,15.0,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2013,4.5,8-Cylinder Gas Engine
  Portofino,256900,953,19.0,Giallo Modena Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,639900,859,13.5,Red Exterior,Gray Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  Roma,259900,2238,19.5,Blu Pozzi Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Spider,219990,21116,15.0,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014,4.5,8-Cylinder Gas Engine
  Roma,305000,834,19.5,Grigio Alloy Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  F430 Coupe,144900,18718,13.5,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2006,4.3,8-Cylinder Gas Engine
  GTC4Lusso,269900,2407,14.5,Blu Pozzi Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,6.3,12-Cylinder Gas Engine
  488 Pista Coupe,555000,867,17.5,Rosso Corsa Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  Portofino,212890,4907,19.0,Argento Nurburgring Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,284988,8619,18.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017,3.9,8-Cylinder Turbo Gas Engine
  Roma,279988,548,19.5,Grigio Titanio Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  California T,137500,7398,19.5,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,239900,8708,18.5,Red Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  Portofino,219900,8329,19.0,Rosso Corsa Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2019,3.9,8-Cylinder Turbo Gas Engine
  California,102990,32199,16.5,Red Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.3,8-Cylinder Gas Engine
  California T,134900,11364,19.5,Nero Ds Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,3.9,8-Cylinder Turbo Gas Engine
  Roma,249900,8083,19.5,Blu Roma Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,184900,16969,15.0,Nero Exterior,Nero Leather Interio Leather Seats,7-Speed Automatic Transmission,yes,Used,2010,4.5,8-Cylinder Gas Engine
  488 GTB,279988,7580,18.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,205000,27806,15.0,Grigio Silverstone Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2015,4.5,8-Cylinder Gas Engine
  F8 Tributo,369800,6818,17.0,Blu Swaters Exterior,Grigio Chiaro Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,3.9,8-Cylinder Turbo Gas Engine
  F8 Spider,459900,7996,16.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  488 Spider,283000,7598,18.5,Blu Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017,3.9,8-Cylinder Turbo Gas Engine
  GTC4Lusso,219900,13848,14.5,Bianco Avus Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,6.3,12-Cylinder Gas Engine
  F8 Spider,469990,2182,16.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,399900,6589,14.0,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,6.5,12-Cylinder Gas Engine
  Portofino,237900,3133,19.0,Grigio Titanio Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,3.9,8-Cylinder Turbo Gas Engine
  Roma,305000,834,19.5,Grigio Alloy Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Spider,259995,12327,15.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2014,4.5,8-Cylinder Gas Engine
  360 Challenge Stradale,345990,5625,12.5,Rosso Corsa Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  812 Superfast,399900,6589,14.0,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020,6.5,12-Cylinder Gas Engine
  812 GTS,589900,3867,13.5,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  599 GTB Fiorano,229999,21250,13.0,White Exterior,Red Leather Seats,6-Speed Manual Transmission,yes,Used,2008,6.0,12-Cylinder Gas Engine
  California T,139900,14791,19.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015,3.9,8-Cylinder Turbo Gas Engine
  488 GTB,259991,9310,18.5,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  F430 Spider,117900,30200,13.5,Corsa Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2007,4.3,8-Cylinder Gas Engine
  488 GTB,274999,1900,18.5,Bianco Avus Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2018,3.9,8-Cylinder Turbo Gas Engine
  812 Superfast,384991,12645,14.0,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,6.5,12-Cylinder Gas Engine
  360 Spider,114900,27946,12.5,Black Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2004,3.6,8-Cylinder Gas Engine
  812 Superfast,429000,1575,14.0,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020,6.5,12-Cylinder Gas Engine
  812 GTS,619000,400,13.5,Nero Daytona Metallic Exterior,Tortora Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021,6.5,12-Cylinder Gas Engine
  488 Spider,305000,7102,18.5,Nero Daytona Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  Roma,287090,277,19.5,Rosso Mugello Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Used,2023,3.9,8-Cylinder Turbo Gas Engine
  812 GTS,619900,972,13.5,Giallo Modena Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Used,2021,6.5,12-Cylinder Gas Engine
  458 Spider,254900,12617,15.0,Red Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2013,4.5,8-Cylinder Gas Engine
  488 GTB,267900,3225,18.5,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016,3.9,8-Cylinder Turbo Gas Engine
  F12 Berlinetta,269900,23646,14.0,Giallo Modena Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015,6.3,12-Cylinder Gas Engine
  F430 Scuderia,264900,20920,13.5,Giallo Modena Exterior,Nero Leather Seats,6-Speed Automatic Transmission,yes,Used,2009,4.3,8-Cylinder Gas Engine
  488 GTB,218990,14498,18.5,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018,3.9,8-Cylinder Turbo Gas Engine
  F8 Tributo,399990,1972,17.0,Verde Kers (2 Layer Paint) Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
  458 Italia Coupe,259999,4961,15.0,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2013,4.5,8-Cylinder Gas Engine
  F8 Spider,478900,658,16.5,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022,3.9,8-Cylinder Turbo Gas Engine
