name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Used 2019 Ferrari 488 GTB,"269,975","7,000",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,White Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2017 Ferrari 488 GTB,"267,895","7,621",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Black Metallic Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2017
Used 2018 Ferrari 488 Spider,"287,895","9,808",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,White Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2018
Used 2023 Ferrari F8 Spider,"499,000",184,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2023
Certified 2019 Ferrari 812 Superfast,"372,998","5,905",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso 70 Anni Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Certified 2020 Ferrari 488 Pista Spider,"599,995","10,492",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Used 2016 Ferrari 488 Spider,"269,789","8,886",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Grigio Titanio Metallic Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Used 2022 Ferrari F8 Spider,"494,900",305,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Certified 2023 Ferrari Roma,"279,999",251,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2023
Used 2013 Ferrari 458 Spider,"259,995","7,700",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
