name,price,mileage,engine,mpg,ext_color,int_color,transmission,rwd,condition,year
Certified 2019 Ferrari Portofino,"238,995","2,843",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Bianco Avus Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2021 Ferrari F8 Spider,"454,900","3,338",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Bianco Avus Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2021
Certified 2018 Ferrari GTC4Lusso,"269,999","5,894",6.3L 12-Cylinder Gas Engine,12 City / 17 Highway ,Nero Daytona Metallic Exterior,Terra Bruciata Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2016 Ferrari California T,"149,888","13,422",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Rosso Mugello Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Used 2022 Ferrari Roma,"257,500","3,425",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Alloy Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2022
Used 2006 Ferrari F430 Spider,"139,900","15,555",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Rosso Corsa Exterior,Beige Leather Seats,6-Speed Manual Transmission,yes,Used,2006
Certified 2019 Ferrari Portofino,"219,900","8,579",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Blu Abu Dhabi Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2021 Ferrari Roma,"226,166","5,489",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Titanio Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021
Certified 2017 Ferrari 488 Spider,"279,995","15,730",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Giallo Modena Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Certified 2013 Ferrari 458 Spider,"259,999","7,170",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2013
Used 2021 Ferrari Roma,"239,900","2,883",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Rosso Scuderia Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Used,2021
Certified 2016 Ferrari F12 Berlinetta,"289,994","10,103",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Corsa Red Exterior,Black Interior,7-Speed Automatic Transmission,yes,Certified,2016
Used 2016 Ferrari 488 GTB,"229,995","16,760",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2019 Ferrari Portofino,"249,900","1,991",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Alluminio Opaco Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2019 Ferrari Portofino,"238,990","2,493",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Roso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2016 Ferrari California T,"150,900","11,451",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2019 Ferrari 488 Spider,"349,900","1,547",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Blu Tour De France Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2004 Ferrari 360 Spider,"134,950","13,522",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Rosso Scuderia Exterior,Cuoio Naturale Leather Seats,Automatic Transmission,yes,Used,2004
Used 2016 Ferrari FF,"146,999","21,076",6.3L 12-Cylinder Gas Engine,11 City / 17 Highway ,Nero Daytona Metallic Exterior,Beige Leather Seats,7-Speed Automatic Transmission,no,Used,2016
Used 2019 Ferrari Portofino,"239,995","3,964",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Rosso Portofino Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2007 Ferrari F430 Coupe,"239,900","49,427",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Modena Yellow Exterior,Black Leather Seats,Manual Transmission,yes,Used,2007
Used 2015 Ferrari California T,"159,895","5,453",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Dark Blue Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2015
Used 2015 Ferrari 458 Spider,"294,990","7,437",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Blue Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Certified 2018 Ferrari 488 GTB,"274,900","1,535",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Silver Exterior,Blue Sterling Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2018 Ferrari 488 Spider,"295,535","6,296",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Used 2016 Ferrari 488 GTB,"267,900","3,225",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2022 Ferrari F8 Spider,"549,995",678,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Blu Pozzi Exterior,Pelle Bianca Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Used 2018 Ferrari 488 GTB,"275,990","10,519",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,White Exterior,Rosso Ferrari W Seat Trim,7-Speed Automatic Transmission,yes,Used,2018
Certified 2022 Ferrari Portofino M,"314,795",746,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Giallo Modena Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2020 Ferrari F8 Tributo,"369,980","3,037",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Red Exterior,Brown Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Used 2022 Ferrari F8 Spider,"469,900","3,298",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Certified 2018 Ferrari 812 Superfast,"364,990","9,771",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Certified 2022 Ferrari F8 Spider,"464,995",353,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Argento Nurburgring Metallic Exterior,Creama Leather Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Certified 2015 Ferrari 458 Speciale Coupe,"549,900","7,960",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Rosso Corsa Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Certified,2015
Used 2015 Ferrari 458 Speciale Coupe,"649,900",564,4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Red Exterior,Black Interior,7-Speed Automatic Transmission,yes,Used,2015
Certified 2021 Ferrari F8 Tributo,"380,000","4,493",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Used 2018 Ferrari 488 Spider,"449,895","2,148",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2018
Certified 2022 Ferrari F8 Spider,"443,995","2,035",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Certified 2019 Ferrari 812 Superfast,"355,900","9,915",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Nero Ds Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2022 Ferrari SF90 Stradale,"629,900",787,Hybrid: Gas/Electric ,16 City / 20 Highway ,Est. 2.5hr Charging TimeSee Details,Red Exterior,Black Leather Seats,no,Used,2022
Used 2007 Ferrari F430 Spider,"168,998","15,834",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2007
Certified 2019 Ferrari GTC4Lusso,"269,900","2,407",6.3L 12-Cylinder Gas Engine,12 City / 17 Highway ,Blu Pozzi Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2014 Ferrari FF,"140,995","26,066",6.3L 12-Cylinder Gas Engine,11 City / 16 Highway ,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,no,Used,2014
Used 2013 Ferrari 458 Spider,"206,122","37,938",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Bianco Avus Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
Certified 2020 Ferrari Portofino,"256,900",953,3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Giallo Modena Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2021 Ferrari 812 GTS,"639,900",859,6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Red Exterior,Gray Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Certified 2022 Ferrari Roma,"259,900","2,238",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Blu Pozzi Exterior,Cuoio Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Certified 2014 Ferrari 458 Spider,"219,990","21,116",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014
Certified 2022 Ferrari Roma,"305,000",834,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Alloy Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2006 Ferrari F430 Coupe,"144,900","18,718",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2006
Certified 2019 Ferrari GTC4Lusso,"269,900","2,407",6.3L 12-Cylinder Gas Engine,12 City / 17 Highway ,Blu Pozzi Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Certified 2019 Ferrari 488 Pista Coupe,"555,000",867,3.9L 8-Cylinder Turbo Gas Engine,15 City / 20 Highway ,Rosso Corsa Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Certified 2019 Ferrari Portofino,"212,890","4,907",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Argento Nurburgring Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2017 Ferrari 488 Spider,"284,988","8,619",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Certified 2022 Ferrari Roma,"279,988",548,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Titanio Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2015 Ferrari California T,"137,500","7,398",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Certified 2017 Ferrari 488 GTB,"239,900","8,708",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2019 Ferrari Portofino,"219,900","8,329",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Rosso Corsa Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2019
Used 2014 Ferrari California,"102,990","32,199",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Red Exterior,Tan Leather Seats,7-Speed Automatic Transmission,yes,Used,2014
Used 2015 Ferrari California T,"134,900","11,364",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Nero Ds Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Certified 2021 Ferrari Roma,"249,900","8,083",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Blu Roma Exterior,Terra Bruciata Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021
Used 2010 Ferrari 458 Italia Coupe,"184,900","16,969",4.5L 8-Cylinder Gas Engine,12 City / 18 Highway ,Nero Exterior,Nero Leather Interio Leather Seats,7-Speed Automatic Transmission,yes,Used,2010
Certified 2019 Ferrari 488 GTB,"279,988","7,580",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2015 Ferrari 458 Italia Coupe,"205,000","27,806",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Grigio Silverstone Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2015
Used 2021 Ferrari F8 Tributo,"369,800","6,818",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Blu Swaters Exterior,Grigio Chiaro Leather Seats,7-Speed Automatic Transmission,yes,Used,2021
Used 2022 Ferrari F8 Spider,"459,900","7,996",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Certified 2017 Ferrari 488 Spider,"283,000","7,598",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Blu Corsa Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2017
Used 2020 Ferrari 812 Superfast,"402,991","5,000",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Black Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2020
Used 2018 Ferrari GTC4Lusso,"219,900","13,848",6.3L 12-Cylinder Gas Engine,12 City / 17 Highway ,Bianco Avus Exterior,Charcoal Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Certified 2022 Ferrari F8 Spider,"469,990","2,182",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Certified 2020 Ferrari 812 Superfast,"399,900","6,589",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2020 Ferrari Portofino,"237,900","3,133",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Grigio Titanio Exterior,Iroko Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2022 Ferrari Roma,"305,000",834,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Alloy Metallic Exterior,Rosso Ferrari Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Used 2014 Ferrari 458 Spider,"259,995","12,327",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2014
Used 2004 Ferrari 360 Challenge Stradale,"345,990","5,625",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Rosso Corsa Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2004
Certified 2020 Ferrari 812 Superfast,"399,900","6,589",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2021 Ferrari 812 GTS,"589,900","3,867",6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Used 2008 Ferrari 599 GTB Fiorano,"229,999","21,250",6.0L 12-Cylinder Gas Engine,11 City / 15 Highway ,White Exterior,Red Leather Seats,6-Speed Manual Transmission,yes,Used,2008
Used 2022 Ferrari F8 Spider,"499,000","1,599",3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,White Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2022
Certified 2015 Ferrari California T,"139,900","14,791",3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015
Used 2016 Ferrari 488 GTB,"259,991","9,310",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Used 2007 Ferrari F430 Spider,"117,900","30,200",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Corsa Red Exterior,Tan Leather Seats,Automatic Transmission,yes,Used,2007
Used 2019 Ferrari Portofino,"226,895","5,411",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Black Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2019
Used 2018 Ferrari 488 GTB,"274,999","1,900",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Bianco Avus Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Used 2020 Ferrari 812 Superfast,"384,991","12,645",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Grigio Silverstone Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Used 2004 Ferrari 360 Spider,"114,900","27,946",3.6L 8-Cylinder Gas Engine,10 City / 15 Highway ,Black Exterior,Black Leather Seats,6-Speed Automatic Transmission,yes,Used,2004
Used 2020 Ferrari 812 Superfast,"429,000","1,575",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2021 Ferrari 812 GTS,"619,000",400,6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Nero Daytona Metallic Exterior,Tortora Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Certified 2018 Ferrari 488 Spider,"305,000","7,102",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Nero Daytona Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2023 Ferrari Roma,"287,090",277,3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Rosso Mugello Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Used,2023
Used 2021 Ferrari 812 GTS,"619,900",972,6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Giallo Modena Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Used,2021
Used 2013 Ferrari 458 Spider,"254,900","12,617",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Red Exterior,Beige Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
Used 2016 Ferrari 488 GTB,"267,900","3,225",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Argento Nurburgring Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2016
Certified 2015 Ferrari F12 Berlinetta,"269,900","23,646",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Giallo Modena Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2015
Used 2009 Ferrari F430 Scuderia,"264,900","20,920",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Giallo Modena Exterior,Nero Leather Seats,6-Speed Automatic Transmission,yes,Used,2009
Certified 2018 Ferrari 488 GTB,"218,990","14,498",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Nero Daytona Metallic Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2022 Ferrari F8 Tributo,"399,990","1,972",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Verde Kers (2 Layer Paint) Exterior,Crema Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Used 2022 Ferrari Portofino M,"314,900",341,3.9L 8-Cylinder Turbo Gas Engine,16 City / 23 Highway ,Red Exterior,8-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2022
Used 2021 Ferrari Roma,"264,995","2,543",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Crema Leather Seats,8-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2021
Used 2013 Ferrari 458 Italia Coupe,"259,999","4,961",4.5L 8-Cylinder Gas Engine,13 City / 17 Highway ,Nero Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2013
Used 2022 Ferrari F8 Spider,"478,900",658,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Certified 2020 Ferrari Portofino,"239,000","2,218",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,White Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2020
Certified 2022 Ferrari F8 Spider,"519,000",999,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Bianco Avus Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Certified 2018 Ferrari 488 GTB,"259,880","7,954",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Certified 2010 Ferrari 458 Italia Coupe,"194,999","16,704",4.5L 8-Cylinder Gas Engine,12 City / 18 Highway ,Grigio Silverstone Metallic Exterior,Rosso Leather Seats,7-Speed Automatic Transmission,yes,Certified,2010
Certified 2021 Ferrari Roma,"244,899","5,288",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Bianco Avus Exterior,Blu Sterling Leather Seats,8-Speed Automatic Transmission,yes,Certified,2021
Certified 2022 Ferrari 812 GTS,"633,991","3,546",6.5L 12-Cylinder Gas Engine,12 City / 15 Highway ,Rosso Fiorano Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Used 2017 Ferrari 488 GTB,"195,971","33,645",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2017
Used 2022 Ferrari SF90 Stradale,"599,000","3,398",Hybrid: Gas/Electric ,16 City / 20 Highway ,Est. 2.5hr Charging TimeSee Details,Argento Nurburgring Exterior,Nero Leather Seats,no,Used,2022
Certified 2022 Ferrari Roma,"262,900","1,672",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Alloy Metallic Exterior,Nero Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Certified 2014 Ferrari California,"139,900","14,897",4.3L 8-Cylinder Gas Engine,14 City / 19 Highway ,Bianco Avus Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2014
Used 2020 Ferrari F8 Tributo,"369,900","4,977",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Used 2005 Ferrari F430 Coupe,"119,999","18,886",4.3L 8-Cylinder Gas Engine,10 City / 15 Highway ,Red Exterior,Beige Leather Seats,6-Speed Automatic Transmission,yes,Used,2005
Used 2006 Ferrari F430 Spider,"139,990","19,347",4.3L 8-Cylinder Gas Engine,11 City / 16 Highway ,Red Exterior,Nero Leather Seats,Automatic Transmission,yes,Used,2006
Certified 2019 Ferrari Portofino,"219,995","10,493",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Rosso Portofino Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2020 Ferrari Portofino,"229,900","8,300",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2022 Ferrari F8 Spider,"528,990",366,3.9L 8-Cylinder Turbo Gas Engine,15 City / 18 Highway ,Azzuro Dino Exterior,Pelle Bianca Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
Used 2022 Ferrari F8 Tributo,"417,998",803,3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Yellow Exterior,Yellow/Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2022
Used 2018 Ferrari 488 GTB,"219,995","28,700",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Red Exterior,Black Leather Seats,7-Speed Automatic Transmission,yes,Used,2018
Used 2022 Ferrari Roma,"289,000","5,298",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Silverstone Metallic Exterior,Rosso Leather Leather Seats,8-Speed Automatic Transmission,yes,Used,2022
Certified 2021 Ferrari F8 Tributo,"380,000","4,493",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Rosso Corsa Exterior,Nero Leather Seats,7-Speed Automatic Transmission,yes,Certified,2021
Certified 2019 Ferrari Portofino,"244,995","6,339",3.9L 8-Cylinder Turbo Gas Engine,16 City / 22 Highway ,Blu Pozzi Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Certified 2022 Ferrari Roma,"265,995","1,700",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Nero Daytona Metallic Exterior,Sabbia Leather Seats,8-Speed Automatic Transmission,yes,Certified,2022
Certified 2019 Ferrari 812 Superfast,"328,995","7,074",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Grigio Silverstone Metallic Exterior,Cuoio Leather Seats,7-Speed Automatic Transmission,yes,Certified,2019
Used 2020 Ferrari 812 Superfast,"409,900","2,155",6.5L 12-Cylinder Gas Engine,12 City / 16 Highway ,Grigio Silverstone Metallic Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Used,2020
Certified 2018 Ferrari GTC4Lusso T,"230,000","11,620",3.9L 8-Cylinder Turbo Gas Engine,15 City / 21 Highway ,Nero Daytona Exterior,Rosso Ferrari Leather Seats,7-Speed Automatic Transmission,yes,Certified,2018
Used 2018 Ferrari 488 Spider,"278,798","17,337",3.9L 8-Cylinder Turbo Gas Engine,15 City / 22 Highway ,Rosso Scuderia Exterior,Nero Interior,7-Speed Automatic Transmission,yes,Used,2018
Used 2014 Ferrari F12 Berlinetta,"285,900","12,980",6.3L 12-Cylinder Gas Engine,12 City / 16 Highway ,Black Exterior,7-Speed Automatic Transmission,2 wheel drive - rear,yes,Used,2014
Used 2022 Ferrari Roma,"289,800","2,249",3.9L 8-Cylinder Turbo Gas Engine,17 City / 22 Highway ,Grigio Titanio Metallic Exterior,Beige Tradizione Leather Seats,8-Speed Automatic Transmission,yes,Used,2022
Certified 2022 Ferrari F8 Tributo,"399,995","1,083",3.9L 8-Cylinder Turbo Gas Engine,15 City / 19 Highway ,Blu Scozia Exterior,Beige Tradizione Leather Seats,7-Speed Automatic Transmission,yes,Certified,2022
